latitude,longitude,vertical_datum,sea_water_speed,direction_of_sea_water_velocity_x,direction_of_sea_water_velocity_y
26.1914,-97.0507,2.0,40.10879704,-0.9389476825994841,-0.3440599502137067
26.2168,-96.4998,2.0,29.99832162,-0.9843891254223779,-0.17600582305755116
26.909,-93.305,79.3,15.7,0.656059028990507,-0.7547095802227722
27.066,-92.06,56.0,13.3,-0.8191520442889918,-0.5735764363510462
27.169,-82.926,4.0,16.76305461424,-0.9544799780350367,0.29827499313592465
27.204,-92.203,66.9,13.1,-0.9612616959383189,-0.275637355816999
27.293,-90.968,70.6,15.6,0.5877852522924729,-0.8090169943749476
27.304,-93.538,126.4,5.5,0.848048096156426,0.5299192642332049
27.322,-90.536,61.8,7.1,0.6156614753256585,-0.7880107536067218
27.355,-89.797,73.0,18.9,0.984807753012208,0.17364817766693033
27.37,-89.924,77.2,17.4,0.8290375725550418,-0.5591929034707466
27.464,-92.433,79.3,14.7,-0.052335956242944306,-0.9986295347545738
27.57,-92.396,63.0,13.2,0.0,1.0
27.625,-90.441,15.2,3.7,0.8290375725550417,0.5591929034707469
27.78,-90.518,25.8,24.1,-0.6691306063588582,0.7431448254773942
27.795,-90.648,79.5,6.9,0.20791169081775945,0.9781476007338056
27.847,-90.719,63.0,4.6,0.9961946980917455,-0.08715574274765832
27.8966,-93.5973,2.0,30.96421321,0.706626084364079,-0.7075871514494094
28.16,-89.22,53.0,17.7,0.6427876096865394,0.766044443118978
28.17,-89.24,62.3,15.4,0.9876883405951378,0.15643446504023087
28.183,-88.629,33.5,11.5,0.5877852522924732,0.8090169943749473
28.191,-88.496,72.9,7.7,-0.017452406437283473,0.9998476951563913
28.201,-88.752,79.3,17.1,0.20791169081775943,-0.9781476007338056
28.214,-88.519,78.0,9.8,-0.587785252292473,0.8090169943749475
28.221,-89.615,79.1,40.4,0.052335956242943966,0.9986295347545738
28.246,-88.928,43.0,14.2,-0.6691306063588582,0.7431448254773942
28.34,-88.266,78.7,9.8,0.27563735581699916,0.9612616959383189
28.3507,-96.0058,2.0,59.996414059509,0.034835415295414444,-0.9993930627341757
28.394,-89.465,117.3,11.4,0.9961946980917455,-0.08715574274765832
28.509,-88.031,54.7,13.3,0.6018150231520484,0.7986355100472928
28.695,-87.931,76.3,33.1,0.992546151641322,0.12186934340514748
28.738,-88.366,57.1,24.4,0.7771459614569709,0.6293203910498374
28.77,-88.834,41.9,29.1,-0.22495105434386503,0.9743700647852352
28.8425,-94.2433,2.0,7.524287342,0.29903797429044127,-0.9542412116086108
28.962,-88.696,43.1,3.2,0.9510565162951535,0.3090169943749474
28.9818,-94.9186,2.0,58.41989473,-0.5484483107839527,-0.8361844595531711
29.06,-88.09,51.0,24.5,-0.9925461516413221,-0.12186934340514731
29.4012,-89.0355,10.86,0.424,-0.7071067811865475,0.7071067811865476
29.635,-93.6417,2.0,29.66050741,-0.12171767045224108,-0.992564762975031
