latitude,longitude,vertical_datum,wind_speed,wind_to_direction_x,wind_to_direction_y
26.1914,-97.0507,0.0,4.948019806,0.6022657880909478,0.7982956347714734
26.2168,-96.4998,4.0,4.104655893,0.8746189104857192,0.4848110574448292
26.8015,-97.4706,0.0,6.8,-0.20791169081775934,0.9781476007338057
27.297,-97.4049,0.0,5.6,0.22495105434386492,0.9743700647852352
27.6346,-97.237,0.0,4.2,-0.08715574274765824,0.9961946980917455
27.8217,-97.204,0.0,1.8,0.5299192642332049,0.848048096156426
27.8398,-97.0727,0.0,2.9,-0.29237170472273666,0.9563047559630355
27.8966,-93.5973,4.0,3.981770963,-0.7207885909394355,0.6931549662027555
28.191,-88.496,48.2,1.8,1.0,0.0
28.4073,-96.7122,0.0,3.5,0.5446390350150266,-0.8386705679454243
28.446,-96.3961,0.0,5.3,0.9961946980917455,0.08715574274765817
28.8332,-90.832,10.0,1.196,-0.3746065934159123,-0.9271838545667873
28.8667,-90.4833,10.0,1.466,-0.9961946980917455,-0.08715574274765794
28.9818,-94.9186,4.0,5.993680005,0.9359874936269222,0.3520332537900251
29.1015,-89.9782,0.0,1.993,-0.6819983600624986,-0.7313537016191703
29.187,-90.6093,0.0,1.5,-0.766044443118978,-0.6427876096865393
29.1874,-90.6654,1.0,2.1,-1.0,0.0
29.2533,-90.6633,1.0,1.5,-0.8660254037844386,-0.5000000000000001
29.4012,-89.0355,10.0,1.069,-0.6293203910498373,0.7771459614569711
29.4412,-92.0613,10.0,0.856,-0.7313537016191706,-0.6819983600624984
29.6619,-84.3731,4.0,5.735,0.9929655081065369,-0.11840396830650092
29.8672,-93.931,0.0,3.2,0.37460659341591196,-0.9271838545667874
30.1889,-90.1683,1.0,2.1,-0.9396926207859083,0.3420201433256689
30.2513,-88.0778,9.68,3.79,0.9661513206883285,0.25797601735858816
30.4367,-88.0117,14.2,5.21,0.8139127651906181,0.5809871002524598
30.6671,-87.9365,8.5,1.64,0.898257804261088,0.43946890343236905
